iter	MultiClass
0	1.651075433
1	1.468982429
2	1.337922739
3	1.236064778
4	1.15701954
5	1.090701566
6	1.036777483
7	0.9902215693
8	0.9501031182
9	0.9153942461
10	0.885362507
11	0.8593987343
12	0.8343839931
13	0.8128968801
14	0.7944410889
15	0.7778325539
16	0.7618568345
17	0.7472621638
18	0.735230952
19	0.7238291184
20	0.7140693685
21	0.7043707916
22	0.6955290788
23	0.68795141
24	0.6809022223
25	0.6753951361
26	0.669801853
27	0.6646837616
28	0.659277157
29	0.6543066705
30	0.6497166534
31	0.6438305422
32	0.6394866482
33	0.6361376128
34	0.633251141
35	0.6288214202
36	0.6256605458
37	0.6223374655
38	0.6197540453
39	0.617814563
40	0.6151885228
41	0.6125968149
42	0.6098009491
43	0.6076656119
44	0.6039993081
45	0.6016863148
46	0.5996554953
47	0.5971450745
48	0.5949487622
49	0.5927429328
50	0.5898695228
51	0.5879571731
52	0.5857950177
53	0.5842449166
54	0.5825597123
55	0.5800882843
56	0.5778122744
57	0.5767544233
58	0.5751761482
59	0.5733935194
60	0.5715581165
61	0.569445367
62	0.568258943
63	0.5670348764
64	0.5655679845
65	0.5642285077
66	0.5625757086
67	0.5612263857
68	0.5597250979
69	0.5583686802
70	0.5565490284
71	0.5550104926
72	0.5539958931
73	0.5531816565
74	0.5517999672
75	0.550824927
76	0.549783922
77	0.5480683616
78	0.5466211062
79	0.5458275982
80	0.5447275736
81	0.5433719432
82	0.5422973162
83	0.5408162806
84	0.5397639757
85	0.5386015212
86	0.5380113195
87	0.5373101907
88	0.536524999
89	0.5356403114
90	0.534703948
91	0.5337176731
92	0.5327716923
93	0.5315413368
94	0.5297422357
95	0.528425941
96	0.527482636
97	0.5267947144
98	0.525435446
99	0.5241680375
100	0.5232261259
101	0.5223292943
102	0.5210819864
103	0.5200773425
104	0.5191815761
105	0.5181383261
106	0.517635273
107	0.516643862
108	0.5157203958
109	0.5150687705
110	0.5140769344
111	0.5133548531
112	0.5122260986
113	0.5112463108
114	0.5106440125
115	0.509978115
116	0.5092269461
117	0.5083319464
118	0.5077422948
119	0.507048372
120	0.5064708804
121	0.5055061152
122	0.5048037468
123	0.503886379
124	0.5031675605
125	0.502640593
126	0.5019739827
127	0.5006300778
128	0.4997392361
129	0.4990804071
130	0.4981115269
131	0.4973431415
132	0.4966239374
133	0.4959696001
134	0.4949838045
135	0.4943041762
136	0.4935346025
137	0.4929694713
138	0.4916842414
139	0.49080135
140	0.4902076323
141	0.4895890567
142	0.4891587072
143	0.4882021301
144	0.4874955554
145	0.4868292397
146	0.485993412
147	0.4854729079
148	0.4849691614
149	0.4845146408
150	0.4834797229
151	0.4829149002
152	0.4823044447
153	0.4817051039
154	0.4809074691
155	0.4797629746
156	0.4792655893
157	0.4783741717
158	0.4776602507
159	0.4766769221
160	0.4762540127
161	0.4752271404
162	0.4744793403
163	0.4739236788
164	0.4733028184
165	0.4726654321
166	0.4722054211
167	0.4717611485
168	0.4709928556
169	0.4705732885
170	0.4699411784
171	0.469543209
172	0.4687461974
173	0.4681723901
174	0.467629636
175	0.4672098343
176	0.4666931494
177	0.4661373762
178	0.4655501964
179	0.4651784694
180	0.4646598787
181	0.4636360714
182	0.4631090059
183	0.4624970296
184	0.4617490738
185	0.4612385357
186	0.4607296216
187	0.4603642806
188	0.4598148511
189	0.4593085177
190	0.4589910537
191	0.4581813732
192	0.4575077524
193	0.4571535314
194	0.4567532276
195	0.4561574298
196	0.4557106779
197	0.4554409746
198	0.4546308392
199	0.4539047359
200	0.4535138715
201	0.4528491442
202	0.4523568655
203	0.4520642261
204	0.4514175563
205	0.4507324842
206	0.4500930373
207	0.4495561816
208	0.4487129438
209	0.4482566058
210	0.447569925
211	0.4470496481
212	0.4466207855
213	0.4463014343
214	0.4458298091
215	0.4452844377
216	0.4449539183
217	0.4443715251
218	0.4440754991
219	0.4436208239
220	0.4431130723
221	0.4425526757
222	0.4421037526
223	0.4417714464
224	0.4415530498
225	0.4409277315
226	0.4401358297
227	0.4394680904
228	0.4391155359
229	0.4386959565
230	0.4382116755
231	0.4376697974
232	0.4373731229
233	0.4370337158
234	0.4367150745
235	0.4361374166
236	0.4358886674
237	0.4354808494
238	0.4351506672
239	0.4349088733
240	0.4343974588
241	0.4340756011
242	0.4336666975
243	0.4331966304
244	0.4328135748
245	0.4324623665
246	0.4322100479
247	0.4317587695
248	0.4313922367
249	0.4311826389
250	0.4308768315
251	0.4305833583
252	0.4302647672
253	0.429901394
254	0.4292661663
255	0.4288508273
256	0.4282700179
257	0.4276423471
258	0.4273526723
259	0.4269800002
260	0.426424278
261	0.4259848572
262	0.4256028561
263	0.4250948415
264	0.4246376033
265	0.4243683686
266	0.423786447
267	0.4234144669
268	0.4230594627
269	0.4227134469
270	0.4224006711
271	0.4219775357
272	0.4215370195
273	0.4212511325
274	0.4210186008
275	0.4205418843
276	0.420281315
277	0.4200128686
278	0.4195675717
279	0.4192995932
280	0.41882832
281	0.418526794
282	0.4183231318
283	0.4179166107
284	0.4175175216
285	0.4171535643
286	0.4168679826
287	0.4164233859
288	0.4160911526
289	0.415881082
290	0.4156782821
291	0.4154094375
292	0.4151955731
293	0.4149304245
294	0.414599157
295	0.4142294656
296	0.4139691651
297	0.4137013344
298	0.4132697278
299	0.4127468014
300	0.4123889393
301	0.4120584852
302	0.4116746417
303	0.4113827672
304	0.4110041682
305	0.4105919679
306	0.4103058416
307	0.4099634336
308	0.409625825
309	0.4093817528
310	0.4091938521
311	0.4087695403
312	0.4083128983
313	0.4079306349
314	0.4077211547
315	0.4074506909
316	0.4070756931
317	0.406553977
318	0.4063479093
319	0.4061427518
320	0.4057903114
321	0.4055996161
322	0.4052464268
323	0.4050091034
324	0.404702263
325	0.4043439569
326	0.4039958403
327	0.4037701094
328	0.4035166347
329	0.403232228
330	0.4027378799
331	0.40240008
332	0.4019744545
333	0.401616456
334	0.4013914632
335	0.400897417
336	0.4006365256
337	0.4004583214
338	0.4000506281
339	0.3998554749
340	0.3995802709
341	0.3992864061
342	0.3989239301
343	0.3986513488
344	0.3981706845
345	0.3978793505
346	0.3975615972
347	0.3972516662
348	0.3968467596
349	0.3965916887
350	0.3962016981
351	0.3959913376
352	0.3957161751
353	0.395421183
354	0.3951510454
355	0.3949907844
356	0.3946541925
357	0.3941477967
358	0.3939008332
359	0.3936302491
360	0.3933855045
361	0.3931427595
362	0.3927672294
363	0.3925078253
364	0.3922503011
365	0.3918571326
366	0.3915485933
367	0.3912931509
368	0.3910778515
369	0.3909049398
370	0.3905991208
371	0.3903053989
372	0.3899515954
373	0.3897092399
374	0.3894567268
375	0.38920803
376	0.3889786315
377	0.3886331196
378	0.3884725927
379	0.3882931443
380	0.3878962867
381	0.3877618655
382	0.3874766096
383	0.3872569629
384	0.386860695
385	0.3865291562
386	0.3862475584
387	0.3860657196
388	0.3858907232
389	0.3855177356
390	0.3853222244
391	0.3850904529
392	0.3848428723
393	0.3845809524
394	0.3843903275
395	0.3841427635
396	0.3839497409
397	0.3837122776
398	0.3834670988
399	0.3832951446
400	0.3830784987
401	0.3828712206
402	0.3825186818
403	0.3822523722
404	0.3820528204
405	0.3817251745
406	0.3812354879
407	0.3810744984
408	0.3807889121
409	0.3805858547
410	0.3804405218
411	0.3800186626
412	0.3798441883
413	0.3795706709
414	0.379204012
415	0.3787388857
416	0.37858945
417	0.3784174216
418	0.3783228493
419	0.3781828802
420	0.3779718033
421	0.3777005692
422	0.3775413082
423	0.377232507
424	0.377049729
425	0.3768035532
426	0.3766094689
427	0.3764311728
428	0.3761840801
429	0.3758881116
430	0.375689336
431	0.3755796751
432	0.3753690784
433	0.3750871809
434	0.3749439774
435	0.37453548
436	0.3743166144
437	0.3739279098
438	0.3736732107
439	0.3733559506
440	0.3731366041
441	0.373019158
442	0.3728621843
443	0.3727323882
444	0.3724462528
445	0.3722471789
446	0.3720607249
447	0.3718941452
448	0.3716811856
449	0.3713271665
450	0.3710347087
451	0.3707673105
452	0.3705648932
453	0.3703535742
454	0.3701010719
455	0.3697294557
456	0.3694703071
457	0.3692624399
458	0.3691227306
459	0.3689131791
460	0.368701319
