iter	Passed	Remaining
0	572	571599
1	906	452428
2	1103	366850
3	1338	333174
4	1540	306486
5	1728	286290
6	1920	272428
7	2138	265192
8	2366	260582
9	2544	251861
10	2748	247094
11	2950	242949
12	3159	239863
13	3381	238156
14	3599	236353
15	3831	235666
16	4055	234517
17	4266	232777
18	4472	230947
19	4684	229527
20	4924	229588
21	5127	227954
22	5315	225781
23	5505	223883
24	5695	222143
25	5870	219909
26	6048	217973
27	6231	216319
28	6415	214819
29	6593	213184
30	6782	212020
31	6947	210172
32	7116	208535
33	7290	207121
34	7456	205576
35	7661	205163
36	7831	203828
37	8012	202838
38	8177	201490
39	8324	199796
40	8467	198054
41	8639	197066
42	8813	196144
43	8969	194879
44	9147	194133
45	9307	193023
46	9478	192191
47	9650	191392
48	9801	190222
49	9979	189619
50	10171	189262
51	10322	188189
52	10488	187405
53	10644	186477
54	10804	185643
55	10976	185025
56	11147	184424
57	11295	183456
58	11461	182806
59	11632	182235
60	11818	181930
61	11999	181544
62	12184	181224
63	12333	180375
64	12476	179471
65	12653	179060
66	12830	178672
67	13019	178440
68	13201	178128
69	13382	177792
70	13570	177564
71	13763	177393
72	13946	177107
73	14096	176392
74	14263	175921
75	14426	175401
76	14582	174804
77	14744	174288
78	14923	173979
79	15085	173478
80	15263	173174
81	15440	172859
82	15610	172472
83	15805	172351
84	15987	172098
85	16159	171738
86	16328	171350
87	16474	170740
88	16624	170165
89	16785	169719
90	16933	169144
91	17096	168736
92	17282	168547
93	17473	168411
94	17655	168191
95	17831	167911
96	18010	167668
97	18180	167339
98	18370	167193
99	18529	166768
100	18692	166380
101	18849	165948
102	19038	165805
103	19213	165535
104	19396	165328
105	19582	165156
106	19738	164737
107	19910	164448
108	20083	164170
109	20250	163841
110	20427	163603
111	20602	163345
112	20781	163121
113	20948	162811
114	21108	162444
115	21324	162509
116	21498	162246
117	21670	161977
118	21837	161669
119	22001	161340
120	22167	161033
121	22343	160801
122	22506	160474
123	22684	160255
124	22854	159979
125	23020	159678
126	23180	159343
127	23385	159314
128	23571	159155
129	23742	158889
130	23903	158564
131	24060	158215
132	24229	157947
133	24402	157706
134	24555	157336
135	24721	157054
136	24880	156726
137	25059	156529
138	25254	156432
139	25449	156333
140	25640	156207
141	25810	155950
142	25957	155563
143	26135	155363
144	26317	155181
145	26490	154952
146	26692	154887
147	26857	154611
148	27022	154334
149	27177	154006
150	27383	153965
151	27573	153829
152	27772	153744
153	27965	153630
154	28145	153437
155	28357	153419
156	28529	153185
157	28728	153099
158	28886	152789
159	29064	152589
160	29224	152296
161	29435	152267
162	29618	152090
163	29788	151846
164	29960	151619
165	30139	151425
166	30289	151084
167	30458	150841
168	30638	150655
169	30792	150339
170	30946	150025
171	31125	149836
172	31311	149679
173	31501	149542
174	31672	149312
175	31836	149051
176	32004	148811
177	32184	148627
178	32349	148374
179	32518	148140
180	32694	147936
181	32894	147842
182	33065	147621
183	33231	147372
184	33403	147155
185	33573	146927
186	33717	146591
187	33886	146361
188	34070	146198
189	34248	146007
190	34412	145756
191	34614	145669
192	34788	145464
193	34950	145204
194	35122	144994
195	35293	144776
196	35463	144552
197	35627	144310
198	35818	144175
199	36017	144069
200	36188	143855
201	36366	143667
202	36529	143418
203	36676	143109
204	36843	142882
205	37020	142690
206	37188	142467
207	37355	142237
208	37570	142191
209	37741	141981
210	37920	141799
211	38076	141531
212	38244	141307
213	38409	141075
214	38575	140845
215	38762	140695
216	38932	140481
217	39112	140304
218	39327	140250
219	39525	140135
220	39673	139845
221	39857	139680
222	40027	139466
223	40216	139320
224	40370	139053
225	40561	138915
226	40746	138752
227	40917	138545
228	41092	138350
229	41269	138162
230	41419	137886
231	41613	137756
232	41774	137514
233	41950	137324
234	42120	137115
235	42325	137021
236	42494	136808
237	42674	136629
238	42853	136450
239	43014	136211
240	43199	136051
241	43365	135829
242	43557	135692
243	43731	135496
244	43912	135320
245	44090	135138
246	44249	134897
247	44427	134714
248	44578	134452
249	44748	134245
250	44897	133978
251	45066	133770
252	45229	133543
253	45387	133303
254	45576	133153
255	45731	132908
256	45904	132710
257	46093	132563
258	46268	132373
259	46449	132203
260	46615	131988
261	46792	131805
262	46959	131593
263	47143	131431
264	47324	131259
265	47490	131045
266	47675	130883
267	47863	130730
268	48030	130522
269	48210	130347
270	48390	130171
271	48570	129996
272	48745	129808
273	48911	129598
274	49079	129390
275	49248	129187
276	49409	128964
277	49582	128770
278	49754	128576
279	49920	128368
280	50122	128249
281	50289	128040
282	50455	127831
283	50636	127660
284	50824	127506
285	50997	127316
286	51177	127141
287	51337	126917
288	51529	126772
289	51674	126513
290	51846	126320
291	52017	126123
292	52187	125926
293	52360	125736
294	52523	125521
295	52694	125327
296	52880	125167
297	53054	124981
298	53229	124794
299	53410	124624
300	53585	124440
301	53757	124248
302	53965	124139
303	54131	123932
304	54317	123771
305	54511	123630
306	54726	123535
307	54894	123334
308	55072	123155
309	55256	122991
310	55450	122845
311	55664	122746
312	55868	122624
313	56047	122448
314	56194	122201
315	56368	122012
316	56544	121828
317	56730	121666
318	56895	121461
319	57052	121235
320	57285	121174
321	57459	120986
322	57648	120830
323	57798	120591
324	57983	120428
325	58147	120219
326	58330	120050
327	58517	119889
328	58688	119696
329	58874	119532
330	59075	119399
331	59277	119268
332	59464	119107
333	59658	118960
334	59844	118795
335	60061	118693
336	60241	118516
337	60455	118407
338	60680	118318
339	60894	118206
340	61103	118086
341	61280	117901
342	61491	117783
343	61702	117665
344	61922	117563
345	62123	117424
346	62314	117265
347	62523	117142
348	62740	117031
349	62954	116915
350	63166	116794
351	63375	116669
352	63579	116532
353	63785	116399
354	63976	116239
355	64165	116074
356	64370	115938
357	64588	115825
358	64805	115710
359	64999	115554
360	65196	115402
361	65392	115249
362	65599	115115
363	65802	114973
364	65995	114813
365	66204	114682
366	66378	114489
367	66563	114316
368	66729	114109
369	66893	113899
370	67081	113731
371	67284	113588
372	67448	113379
373	67640	113216
374	67821	113035
375	67996	112844
376	68153	112625
377	68357	112482
378	68517	112268
379	68690	112074
380	68864	111882
381	69023	111665
382	69217	111507
383	69404	111337
384	69604	111186
385	69779	110996
386	69962	110819
387	70115	110593
388	70285	110397
389	70469	110222
390	70629	110008
391	70799	109811
392	70963	109605
393	71146	109428
394	71313	109227
395	71506	109064
396	71682	108877
397	71833	108652
398	72012	108469
399	72167	108251
400	72347	108070
401	72536	107902
402	72723	107731
403	72899	107544
404	73066	107345
405	73257	107179
406	73432	106991
407	73599	106791
408	73786	106620
409	73964	106437
410	74130	106235
411	74321	106071
412	74486	105867
413	74683	105711
414	74867	105536
415	75066	105381
416	75210	105151
417	75383	104959
418	75573	104793
419	75747	104603
420	75941	104441
421	76120	104259
422	76286	104059
423	76444	103849
424	76615	103656
425	76800	103482
426	76971	103290
427	77147	103103
428	77309	102898
429	77534	102778
430	77734	102624
431	77881	102399
432	78079	102242
433	78268	102073
434	78438	101879
435	78617	101698
436	78786	101503
437	78968	101325
438	79148	101144
439	79324	100958
440	79497	100769
441	79670	100579
442	79820	100361
443	79994	100172
444	80182	100003
445	80342	99797
446	80516	99609
447	80688	99419
448	80873	99245
449	81074	99090
450	81246	98901
451	81443	98741
452	81627	98565
453	81806	98384
454	81992	98210
455	82184	98045
456	82377	97879
457	82548	97688
458	82697	97471
459	82872	97285
460	83068	97123
461	83239	96932
462	83419	96751
463	83585	96555
464	83774	96385
465	83940	96189
466	84115	96003
467	84271	95795
468	84435	95597
469	84600	95400
470	84779	95219
471	84962	95042
472	85121	94839
473	85283	94639
474	85462	94459
475	85659	94297
476	85813	94088
477	86006	93923
478	86170	93726
479	86325	93518
480	86497	93331
481	86667	93140
482	86882	92998
483	87063	92819
484	87225	92621
485	87429	92466
486	87668	92348
487	87849	92169
488	88021	91981
489	88200	91800
490	88349	91588
491	88528	91406
492	88676	91195
493	88844	91002
494	89010	90808
495	89200	90639
496	89353	90432
497	89512	90231
498	89680	90040
499	89861	89861
500	90043	89683
501	90252	89533
502	90431	89353
503	90605	89167
504	90788	88990
505	90950	88793
506	91137	88621
507	91312	88436
508	91480	88245
509	91666	88071
510	91851	87896
511	92010	87697
512	92206	87533
513	92383	87351
514	92549	87157
515	92695	86947
516	92866	86758
517	93046	86579
518	93200	86377
519	93393	86209
520	93546	86005
521	93701	85803
522	93881	85624
523	94035	85421
524	94186	85216
525	94391	85059
526	94566	84876
527	94714	84669
528	94885	84482
529	95043	84284
530	95233	84114
531	95452	83969
532	95640	83797
533	95825	83622
534	95999	83438
535	96175	83256
536	96346	83069
537	96508	82875
538	96683	82691
539	96863	82513
540	97035	82328
541	97212	82146
542	97390	81965
543	97566	81783
544	97724	81586
545	97895	81400
546	98079	81225
547	98270	81055
548	98411	80844
549	98583	80659
550	98733	80455
551	98914	80278
552	99103	80107
553	99285	79930
554	99453	79741
555	99617	79550
556	99786	79363
557	99958	79178
558	100143	79004
559	100332	78832
560	100518	78658
561	100716	78493
562	100874	78298
563	101054	78120
564	101223	77932
565	101372	77730
566	101570	77566
567	101746	77384
568	101935	77213
569	102097	77021
570	102295	76855
571	102481	76681
572	102641	76488
573	102813	76303
574	103014	76141
575	103214	75977
576	103357	75771
577	103549	75601
578	103726	75421
579	103901	75238
580	104097	75071
581	104290	74903
582	104450	74709
583	104627	74529
584	104802	74347
585	104975	74163
586	105148	73979
587	105316	73793
588	105482	73604
589	105683	73440
590	105861	73261
591	106056	73093
592	106225	72906
593	106393	72720
594	106556	72530
595	106749	72360
596	106917	72173
597	107088	71989
598	107248	71797
599	107427	71618
600	107581	71422
601	107766	71247
602	107928	71057
603	108123	70888
604	108296	70706
605	108481	70530
606	108638	70337
607	108811	70154
608	108974	69965
609	109135	69775
610	109331	69607
611	109510	69428
612	109706	69259
613	109888	69083
614	110065	68902
615	110261	68734
616	110433	68550
617	110605	68367
618	110798	68197
619	110977	68018
620	111155	67838
621	111373	67683
622	111541	67497
623	111729	67324
624	111908	67144
625	112091	66968
626	112279	66794
627	112476	66626
628	112660	66449
629	112833	66267
630	113002	66082
631	113181	65903
632	113349	65717
633	113520	65533
634	113730	65372
635	113902	65189
636	114105	65024
637	114303	64855
638	114470	64669
639	114644	64487
640	114812	64301
641	114986	64120
642	115169	63943
643	115330	63754
644	115492	63565
645	115660	63380
646	115840	63202
647	116008	63017
648	116183	62836
649	116364	62657
650	116565	62490
651	116723	62300
652	116896	62118
653	117069	61935
654	117231	61747
655	117392	61559
656	117563	61376
657	117725	61188
658	117883	60998
659	118058	60817
660	118238	60639
661	118397	60450
662	118584	60275
663	118784	60107
664	118972	59933
665	119153	59755
666	119330	59576
667	119496	59390
668	119705	59226
669	119883	59047
670	120060	58867
671	120246	58691
672	120430	58515
673	120610	58336
674	120772	58149
675	120951	57970
676	121113	57783
677	121296	57606
678	121467	57424
679	121649	57246
680	121830	57068
681	121993	56882
682	122156	56696
683	122312	56506
684	122509	56336
685	122664	56146
686	122830	55962
687	122987	55773
688	123133	55579
689	123304	55397
690	123475	55215
691	123662	55040
692	123850	54865
693	124012	54680
694	124180	54496
695	124377	54325
696	124565	54150
697	124745	53972
698	124941	53801
699	125129	53626
700	125299	53444
701	125469	53261
702	125634	53077
703	125820	52901
704	125986	52717
705	126149	52532
706	126335	52357
707	126514	52178
708	126700	52002
709	126863	51817
710	127037	51636
711	127243	51469
712	127410	51285
713	127603	51112
714	127775	50931
715	127977	50762
716	128145	50579
717	128310	50395
718	128484	50214
719	128650	50030
720	128824	49850
721	129001	49670
722	129194	49497
723	129345	49308
724	129533	49133
725	129715	48956
726	129909	48783
727	130061	48594
728	130226	48410
729	130371	48219
730	130535	48035
731	130722	47859
732	130878	47673
733	131080	47503
734	131277	47331
735	131464	47155
736	131655	46981
737	131843	46806
738	132013	46624
739	132195	46447
740	132372	46267
741	132547	46087
742	132724	45908
743	132894	45726
744	133048	45540
745	133222	45359
746	133392	45178
747	133588	45005
748	133765	44826
749	133926	44642
750	134120	44468
751	134295	44288
752	134499	44118
753	134680	43940
754	134858	43762
755	135044	43585
756	135223	43407
757	135413	43232
758	135592	43053
759	135776	42876
760	135946	42695
761	136133	42519
762	136290	42333
763	136479	42158
764	136659	41980
765	136844	41803
766	137022	41624
767	137183	41440
768	137354	41260
769	137565	41091
770	137778	40922
771	137989	40753
772	138183	40578
773	138357	40398
774	138538	40220
775	138705	40038
776	138929	39873
777	139087	39688
778	139252	39505
779	139418	39323
780	139599	39144
781	139767	38963
782	139913	38775
783	140085	38594
784	140246	38411
785	140406	38227
786	140557	38041
787	140742	37864
788	140918	37685
789	141096	37506
790	141265	37325
791	141432	37143
792	141619	36967
793	141789	36786
794	141968	36608
795	142139	36427
796	142314	36248
797	142465	36062
798	142630	35880
799	142805	35701
800	142969	35519
801	143159	35343
802	143315	35159
803	143490	34980
804	143678	34804
805	143858	34625
806	144033	34446
807	144194	34263
808	144369	34084
809	144561	33909
810	144732	33729
811	144896	33547
812	145065	33366
813	145221	33183
814	145390	33002
815	145559	32822
816	145741	32644
817	145924	32467
818	146111	32290
819	146285	32111
820	146484	31937
821	146667	31760
822	146856	31583
823	147036	31405
824	147197	31223
825	147362	31042
826	147519	30859
827	147689	30679
828	147877	30503
829	148044	30322
830	148206	30140
831	148385	29962
832	148582	29787
833	148769	29611
834	148954	29434
835	149131	29255
836	149299	29075
837	149466	28894
838	149645	28716
839	149831	28539
840	150020	28362
841	150205	28185
842	150381	28006
843	150534	27823
844	150699	27643
845	150890	27466
846	151048	27284
847	151218	27105
848	151386	26924
849	151557	26745
850	151744	26568
851	151933	26392
852	152101	26212
853	152299	26037
854	152487	25860
855	152666	25682
856	152853	25505
857	153064	25332
858	153221	25150
859	153387	24969
860	153555	24789
861	153733	24611
862	153904	24432
863	154078	24253
864	154263	24075
865	154444	23897
866	154601	23716
867	154781	23538
868	154958	23359
869	155123	23179
870	155300	23000
871	155516	22828
872	155704	22651
873	155871	22471
874	156053	22293
875	156229	22114
876	156402	21935
877	156586	21757
878	156748	21577
879	156908	21396
880	157110	21221
881	157278	21041
882	157467	20864
883	157629	20684
884	157819	20507
885	157993	20328
886	158156	20148
887	158321	19968
888	158506	19791
889	158698	19614
890	158849	19432
891	159046	19256
892	159225	19078
893	159401	18899
894	159595	18723
895	159766	18544
896	159957	18367
897	160134	18188
898	160320	18011
899	160503	17833
900	160674	17654
901	160867	17477
902	161005	17295
903	161179	17116
904	161355	16937
905	161539	16760
906	161727	16582
907	161903	16404
908	162093	16227
909	162259	16047
910	162427	15868
911	162620	15691
912	162780	15511
913	162934	15330
914	163098	15151
915	163265	14971
916	163438	14793
917	163620	14615
918	163798	14437
919	164001	14260
920	164168	14081
921	164334	13902
922	164509	13723
923	164673	13544
924	164846	13365
925	165034	13188
926	165182	13007
927	165356	12829
928	165554	12652
929	165738	12474
930	165907	12296
931	166070	12116
932	166244	11938
933	166394	11758
934	166584	11580
935	166764	11402
936	166932	11223
937	167111	11045
938	167307	10868
939	167546	10694
940	167725	10516
941	167914	10338
942	168113	10161
943	168289	9983
944	168470	9805
945	168633	9625
946	168822	9448
947	169000	9270
948	169197	9092
949	169350	8913
950	169532	8735
951	169715	8557
952	169889	8378
953	170071	8200
954	170244	8021
955	170421	7843
956	170604	7665
957	170800	7488
958	170959	7308
959	171143	7130
960	171340	6953
961	171534	6775
962	171704	6597
963	171876	6418
964	172039	6239
965	172194	6060
966	172372	5882
967	172556	5704
968	172741	5526
969	172909	5347
970	173088	5169
971	173249	4990
972	173441	4812
973	173632	4634
974	173810	4456
975	174006	4278
976	174178	4100
977	174333	3921
978	174525	3743
979	174686	3565
980	174867	3386
981	175033	3208
982	175213	3030
983	175371	2851
984	175552	2673
985	175721	2495
986	175887	2316
987	176054	2138
988	176211	1959
989	176364	1781
990	176514	1603
991	176694	1424
992	176870	1246
993	177031	1068
994	177226	890
995	177414	712
996	177575	534
997	177760	356
998	177925	178
999	178088	0
